uf,estado,municipio,codigo_ibge,periodo,zona_residencial,doenca,numero_casos,taxa_incidencia
PA,Pará,Baião,1501204,2004-2008,rural,chagas,2,3.67686595956582
PA,Pará,Cametá,1502103,2004-2008,rural,chagas,5,1.66301604272576
PA,Pará,Mocajuba,1504604,2004-2008,rural,chagas,0,0
PA,Pará,Baião,1501204,2015-2019,rural,chagas,1,1.83843297978291
PA,Pará,Cametá,1502103,2015-2019,rural,chagas,68,22.6170181810704
PA,Pará,Mocajuba,1504604,2015-2019,rural,chagas,0,0
PA,Pará,Baião,1501204,2004-2008,urban,chagas,0,0
PA,Pará,Cametá,1502103,2004-2008,urban,chagas,0,0
PA,Pará,Mocajuba,1504604,2004-2008,urban,chagas,1,1.32618893016194
PA,Pará,Baião,1501204,2015-2019,urban,chagas,2,3.63168539159057
PA,Pará,Cametá,1502103,2015-2019,urban,chagas,33,14.1375185002551
PA,Pará,Mocajuba,1504604,2015-2019,urban,chagas,3,3.97856679048581
PA,Pará,Baião,1501204,2004-2008,total,chagas,2,1.82706801260677
PA,Pará,Cametá,1502103,2004-2008,total,chagas,5,0.936189334931096
PA,Pará,Mocajuba,1504604,2004-2008,total,chagas,1,0.906864967806294
PA,Pará,Baião,1501204,2015-2019,total,chagas,3,1.30123617436565
PA,Pará,Cametá,1502103,2015-2019,total,chagas,101,15.0633855331842
PA,Pará,Mocajuba,1504604,2015-2019,total,chagas,3,1.98170228226046
PA,Pará,Baião,1501204,2004-2008,rural,CL,129,237.157854391995
PA,Pará,Cametá,1502103,2004-2008,rural,CL,78,25.9430502665219
PA,Pará,Mocajuba,1504604,2004-2008,rural,CL,78,223.713888008228
PA,Pará,Baião,1501204,2015-2019,rural,CL,70,128.690308584804
PA,Pará,Cametá,1502103,2015-2019,rural,CL,20,6.65206417090305
PA,Pará,Mocajuba,1504604,2015-2019,rural,CL,14,40.1537747707075
PA,Pará,Baião,1501204,2004-2008,urban,CL,19,34.5010112201104
PA,Pará,Cametá,1502103,2004-2008,urban,CL,14,5.99773512132032
PA,Pará,Mocajuba,1504604,2004-2008,urban,CL,51,67.6356354382587
PA,Pará,Baião,1501204,2015-2019,urban,CL,5,9.07921347897642
PA,Pará,Cametá,1502103,2015-2019,urban,CL,12,5.14091581827456
PA,Pará,Mocajuba,1504604,2015-2019,urban,CL,8,10.6095114412955
PA,Pará,Baião,1501204,2004-2008,total,CL,148,135.203032932901
PA,Pará,Cametá,1502103,2004-2008,total,CL,92,17.2258837627322
PA,Pará,Mocajuba,1504604,2004-2008,total,CL,129,116.985580847012
PA,Pará,Baião,1501204,2015-2019,total,CL,75,32.5309043591412
PA,Pará,Cametá,1502103,2015-2019,total,CL,32,4.77255779269202
PA,Pará,Mocajuba,1504604,2015-2019,total,CL,22,14.5324834032434
PA,Pará,Baião,1501204,2004-2008,rural,VL,74,136.044040503935
PA,Pará,Cametá,1502103,2004-2008,rural,VL,250,83.1508021362881
PA,Pará,Mocajuba,1504604,2004-2008,rural,VL,98,281.076423394953
PA,Pará,Baião,1501204,2015-2019,rural,VL,16,29.4149276765265
PA,Pará,Cametá,1502103,2015-2019,rural,VL,83,27.6060663092476
PA,Pará,Mocajuba,1504604,2015-2019,rural,VL,11,31.5493944626988
PA,Pará,Baião,1501204,2004-2008,urban,VL,18,32.6851685243151
PA,Pará,Cametá,1502103,2004-2008,urban,VL,33,14.1375185002551
PA,Pará,Mocajuba,1504604,2004-2008,urban,VL,29,38.4594789746961
PA,Pará,Baião,1501204,2015-2019,urban,VL,6,10.8950561747717
PA,Pará,Cametá,1502103,2015-2019,urban,VL,12,5.14091581827456
PA,Pará,Mocajuba,1504604,2015-2019,urban,VL,6,7.95713358097161
PA,Pará,Baião,1501204,2004-2008,total,VL,92,84.0451285799114
PA,Pará,Cametá,1502103,2004-2008,total,VL,283,52.9883163571001
PA,Pará,Mocajuba,1504604,2004-2008,total,VL,127,115.171850911399
PA,Pará,Baião,1501204,2015-2019,total,VL,22,9.54239861201475
PA,Pará,Cametá,1502103,2015-2019,total,VL,95,14.1685309470544
PA,Pará,Mocajuba,1504604,2015-2019,total,VL,17,11.2296462661426
PA,Pará,Baião,1501204,2004-2008,rural,Dengue,0,0
PA,Pará,Cametá,1502103,2004-2008,rural,Dengue,0,0
PA,Pará,Mocajuba,1504604,2004-2008,rural,Dengue,0,0
PA,Pará,Baião,1501204,2015-2019,rural,Dengue,0,0
PA,Pará,Cametá,1502103,2015-2019,rural,Dengue,0,0
PA,Pará,Mocajuba,1504604,2015-2019,rural,Dengue,0,0
PA,Pará,Baião,1501204,2004-2008,urban,Dengue,0,0
PA,Pará,Cametá,1502103,2004-2008,urban,Dengue,0,0
PA,Pará,Mocajuba,1504604,2004-2008,urban,Dengue,0,0
PA,Pará,Baião,1501204,2015-2019,urban,Dengue,0,0
PA,Pará,Cametá,1502103,2015-2019,urban,Dengue,0,0
PA,Pará,Mocajuba,1504604,2015-2019,urban,Dengue,0,0
PA,Pará,Baião,1501204,2004-2008,total,Dengue,63,57.5526423971132
PA,Pará,Cametá,1502103,2004-2008,total,Dengue,579,108.410724985021
PA,Pará,Mocajuba,1504604,2004-2008,total,Dengue,39,35.3677337444455
PA,Pará,Baião,1501204,2015-2019,total,Dengue,41,17.7835610496638
