Municipio,codigo_ibge,Eixo,Variavel,Valor,Unidade,Ano
Baiao,1501208,Ambiental,Incremento Desflorestamento,18.19,km2,2008
Baiao,1501208,Ambiental,Incremento Desflorestamento,13.37,km2,2009
Baiao,1501208,Ambiental,Incremento Desflorestamento,22.77,km2,2010
Baiao,1501208,Ambiental,Incremento Desflorestamento,7.45,km2,2011
Baiao,1501208,Ambiental,Incremento Desflorestamento,7.94,km2,2012
Baiao,1501208,Ambiental,Incremento Desflorestamento,6.25,km2,2013
Baiao,1501208,Ambiental,Incremento Desflorestamento,3.8,km2,2014
Baiao,1501208,Ambiental,Incremento Desflorestamento,4.45,km2,2015
Baiao,1501208,Ambiental,Incremento Desflorestamento,5.64,km2,2016
Baiao,1501208,Ambiental,Incremento Desflorestamento,5.2,km2,2017
Baiao,1501208,Ambiental,Incremento Desflorestamento,9.9,km2,2018
Baiao,1501208,Ambiental,Incremento Desflorestamento,7.21,km2,2019
Baiao,1501208,Ambiental,Incremento Desflorestamento,6.44,km2,2020
Baiao,1501208,Ambiental,Incremento Desflorestamento,14.63,km2,2021
Baiao,1501208,Ambiental,Incremento Desflorestamento,8.89,km2,2022
Baiao,1501208,Ambiental,Incremento Desflorestamento,8.64,km2,2023
Baiao,1501208,Ambiental,Incremento Desflorestamento,8.25,km2,2024
Baiao,1501208,Ambiental,Focos de Calor,270,Ocorrencias,2008
Baiao,1501208,Ambiental,Focos de Calor,295,Ocorrencias,2009
Baiao,1501208,Ambiental,Focos de Calor,194,Ocorrencias,2010
Baiao,1501208,Ambiental,Focos de Calor,143,Ocorrencias,2011
Baiao,1501208,Ambiental,Focos de Calor,200,Ocorrencias,2012
Baiao,1501208,Ambiental,Focos de Calor,187,Ocorrencias,2013
Baiao,1501208,Ambiental,Focos de Calor,206,Ocorrencias,2014
Baiao,1501208,Ambiental,Focos de Calor,221,Ocorrencias,2015
Baiao,1501208,Ambiental,Focos de Calor,149,Ocorrencias,2016
Baiao,1501208,Ambiental,Focos de Calor,206,Ocorrencias,2017
Baiao,1501208,Ambiental,Focos de Calor,174,Ocorrencias,2018
Baiao,1501208,Ambiental,Focos de Calor,135,Ocorrencias,2019
Baiao,1501208,Ambiental,Focos de Calor,135,Ocorrencias,2020
Baiao,1501208,Ambiental,Focos de Calor,101,Ocorrencias,2021
Baiao,1501208,Ambiental,Focos de Calor,177,Ocorrencias,2022
Baiao,1501208,Ambiental,Focos de Calor,332,Ocorrencias,2023
Baiao,1501208,Ambiental,Focos de Calor,256,Ocorrencias,2024
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.79,km2,2008
Cameta,1502107,Ambiental,Incremento Desflorestamento,6.68,km2,2009
Cameta,1502107,Ambiental,Incremento Desflorestamento,13.55,km2,2010
Cameta,1502107,Ambiental,Incremento Desflorestamento,1.38,km2,2011
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.48,km2,2012
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.4,km2,2013
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.34,km2,2014
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.29,km2,2015
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.41,km2,2016
Cameta,1502107,Ambiental,Incremento Desflorestamento,1.27,km2,2017
Cameta,1502107,Ambiental,Incremento Desflorestamento,1.05,km2,2018
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.14,km2,2019
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.45,km2,2020
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.3,km2,2021
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.42,km2,2022
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.41,km2,2023
Cameta,1502107,Ambiental,Incremento Desflorestamento,0.73,km2,2024
Cameta,1502107,Ambiental,Focos de Calor,522,Ocorrencias,2008
Cameta,1502107,Ambiental,Focos de Calor,328,Ocorrencias,2009
Cameta,1502107,Ambiental,Focos de Calor,285,Ocorrencias,2010
Cameta,1502107,Ambiental,Focos de Calor,242,Ocorrencias,2011
Cameta,1502107,Ambiental,Focos de Calor,342,Ocorrencias,2012
Cameta,1502107,Ambiental,Focos de Calor,345,Ocorrencias,2013
Cameta,1502107,Ambiental,Focos de Calor,281,Ocorrencias,2014
Cameta,1502107,Ambiental,Focos de Calor,339,Ocorrencias,2015
Cameta,1502107,Ambiental,Focos de Calor,391,Ocorrencias,2016
Cameta,1502107,Ambiental,Focos de Calor,443,Ocorrencias,2017
Cameta,1502107,Ambiental,Focos de Calor,175,Ocorrencias,2018
Cameta,1502107,Ambiental,Focos de Calor,194,Ocorrencias,2019
Cameta,1502107,Ambiental,Focos de Calor,271,Ocorrencias,2020
Cameta,1502107,Ambiental,Focos de Calor,156,Ocorrencias,2021
Cameta,1502107,Ambiental,Focos de Calor,292,Ocorrencias,2022
Cameta,1502107,Ambiental,Focos de Calor,506,Ocorrencias,2023
Cameta,1502107,Ambiental,Focos de Calor,344,Ocorrencias,2024
Mocajuba,1504707,Ambiental,Incremento Desflorestamento,1.9,km2,2010
Mocajuba,1504707,Ambiental,Incremento Desflorestamento,0.6,km2,2011
Mocajuba,1504707,Ambiental,Incremento Desflorestamento,0.3,km2,2012
Mocajuba,1504707,Ambiental,Incremento Desflorestamento,0.1,km2,2013
