Municipio,codigo_ibge,Eixo,Variavel,Valor,Unidade,Ano
Baiao,1501208,Demografico,Populacao Total,21119,Habitantes,2000
Baiao,1501208,Demografico,Populacao Total,21255,Habitantes,2001
Baiao,1501208,Demografico,Populacao Total,21339,Habitantes,2002
Baiao,1501208,Demografico,Populacao Total,21442,Habitantes,2003
Baiao,1501208,Demografico,Populacao Total,21673,Habitantes,2004
Baiao,1501208,Demografico,Populacao Total,21775,Habitantes,2005
Baiao,1501208,Demografico,Populacao Total,21893,Habitantes,2006
Baiao,1501208,Demografico,Populacao Total,26190,Habitantes,2007
Baiao,1501208,Demografico,Populacao Total,27652,Habitantes,2008
Baiao,1501208,Demografico,Populacao Total,28299,Habitantes,2009
Baiao,1501208,Demografico,Populacao Total,36882,Habitantes,2010
Baiao,1501208,Demografico,Populacao Total,38092,Habitantes,2011
Baiao,1501208,Demografico,Populacao Total,39263,Habitantes,2012
Baiao,1501208,Demografico,Populacao Total,41232,Habitantes,2013
Baiao,1501208,Demografico,Populacao Total,42513,Habitantes,2014
Baiao,1501208,Demografico,Populacao Total,43757,Habitantes,2015
Baiao,1501208,Demografico,Populacao Total,44956,Habitantes,2016
Baiao,1501208,Demografico,Populacao Total,46110,Habitantes,2017
Baiao,1501208,Demografico,Populacao Total,46416,Habitantes,2018
Baiao,1501208,Demografico,Populacao Total,47446,Habitantes,2019
Baiao,1501208,Demografico,Populacao Total,48459,Habitantes,2020
Baiao,1501208,Demografico,Populacao Total,49454,Habitantes,2021
Baiao,1501208,Demografico,Populacao Total,51641,Habitantes,2022
Baiao,1501208,Demografico,Populacao Total,54561,Habitantes,2023
Baiao,1501208,Demografico,Populacao Total,55949,Habitantes,2024
Cameta,1502107,Demografico,Populacao Total,97624,Habitantes,2000
Cameta,1502107,Demografico,Populacao Total,99016,Habitantes,2001
Cameta,1502107,Demografico,Populacao Total,100241,Habitantes,2002
Cameta,1502107,Demografico,Populacao Total,101455,Habitantes,2003
Cameta,1502107,Demografico,Populacao Total,104210,Habitantes,2004
Cameta,1502107,Demografico,Populacao Total,105416,Habitantes,2005
Cameta,1502107,Demografico,Populacao Total,106816,Habitantes,2006
Cameta,1502107,Demografico,Populacao Total,110323,Habitantes,2007
Cameta,1502107,Demografico,Populacao Total,115377,Habitantes,2008
Cameta,1502107,Demografico,Populacao Total,117099,Habitantes,2009
Cameta,1502107,Demografico,Populacao Total,120896,Habitantes,2010
Cameta,1502107,Demografico,Populacao Total,122682,Habitantes,2011
Cameta,1502107,Demografico,Populacao Total,124411,Habitantes,2012
Cameta,1502107,Demografico,Populacao Total,127401,Habitantes,2013
Cameta,1502107,Demografico,Populacao Total,129161,Habitantes,2014
Cameta,1502107,Demografico,Populacao Total,130868,Habitantes,2015
Cameta,1502107,Demografico,Populacao Total,132515,Habitantes,2016
Cameta,1502107,Demografico,Populacao Total,134100,Habitantes,2017
Cameta,1502107,Demografico,Populacao Total,136390,Habitantes,2018
Cameta,1502107,Demografico,Populacao Total,137890,Habitantes,2019
Cameta,1502107,Demografico,Populacao Total,139364,Habitantes,2020
Cameta,1502107,Demografico,Populacao Total,140814,Habitantes,2021
Cameta,1502107,Demografico,Populacao Total,134184,Habitantes,2022
Cameta,1502107,Demografico,Populacao Total,142692,Habitantes,2023
Cameta,1502107,Demografico,Populacao Total,143837,Habitantes,2024
Mocajuba,1504707,Demografico,Populacao Total,20542,Habitantes,2000
Mocajuba,1504707,Demografico,Populacao Total,20802,Habitantes,2001
Mocajuba,1504707,Demografico,Populacao Total,20972,Habitantes,2002
Mocajuba,1504707,Demografico,Populacao Total,21172,Habitantes,2003
Mocajuba,1504707,Demografico,Populacao Total,21626,Habitantes,2004
Mocajuba,1504707,Demografico,Populacao Total,21824,Habitantes,2005
Mocajuba,1504707,Demografico,Populacao Total,22055,Habitantes,2006
Mocajuba,1504707,Demografico,Populacao Total,23258,Habitantes,2007
Mocajuba,1504707,Demografico,Populacao Total,24328,Habitantes,2008
Mocajuba,1504707,Demografico,Populacao Total,24695,Habitantes,2009
Mocajuba,1504707,Demografico,Populacao Total,26731,Habitantes,2010
Mocajuba,1504707,Demografico,Populacao Total,27206,Habitantes,2011
Mocajuba,1504707,Demografico,Populacao Total,27666,Habitantes,2012
Mocajuba,1504707,Demografico,Populacao Total,28454,Habitantes,2013
Mocajuba,1504707,Demografico,Populacao Total,28933,Habitantes,2014
Mocajuba,1504707,Demografico,Populacao Total,29398,Habitantes,2015
Mocajuba,1504707,Demografico,Populacao Total,29846,Habitantes,2016
Mocajuba,1504707,Demografico,Populacao Total,30277,Habitantes,2017
Mocajuba,1504707,Demografico,Populacao Total,30736,Habitantes,2018
Mocajuba,1504707,Demografico,Populacao Total,31136,Habitantes,2019
Mocajuba,1504707,Demografico,Populacao Total,31530,Habitantes,2020
Mocajuba,1504707,Demografico,Populacao Total,31917,Habitantes,2021
Mocajuba,1504707,Demografico,Populacao Total,27198,Habitantes,2022
