Municipio,codigo_ibge,Eixo,Variavel,Valor,Unidade,Ano
Baiao,1501208,Economico,PIB per capita,2569,R$,2002
Baiao,1501208,Economico,PIB per capita,2874,R$,2003
Baiao,1501208,Economico,PIB per capita,2991,R$,2004
Baiao,1501208,Economico,PIB per capita,3563,R$,2005
Baiao,1501208,Economico,PIB per capita,4094,R$,2006
Baiao,1501208,Economico,PIB per capita,3807,R$,2007
Baiao,1501208,Economico,PIB per capita,3867,R$,2008
Baiao,1501208,Economico,PIB per capita,4347,R$,2009
Baiao,1501208,Economico,PIB per capita,4587,R$,2010
Baiao,1501208,Economico,PIB per capita,5133,R$,2011
Baiao,1501208,Economico,PIB per capita,5175,R$,2012
Baiao,1501208,Economico,PIB per capita,6274,R$,2013
Baiao,1501208,Economico,PIB per capita,6089,R$,2014
Baiao,1501208,Economico,PIB per capita,7025,R$,2015
Baiao,1501208,Economico,PIB per capita,7534,R$,2016
Baiao,1501208,Economico,PIB per capita,7734,R$,2017
Baiao,1501208,Economico,PIB per capita,7469,R$,2018
Baiao,1501208,Economico,PIB per capita,9970,R$,2019
Baiao,1501208,Economico,PIB per capita,12712,R$,2020
Baiao,1501208,Economico,PIB per capita,11367,R$,2021
Cameta,1502107,Economico,PIB per capita,2256,R$,2002
Cameta,1502107,Economico,PIB per capita,2342,R$,2003
Cameta,1502107,Economico,PIB per capita,2121,R$,2004
Cameta,1502107,Economico,PIB per capita,2465,R$,2005
Cameta,1502107,Economico,PIB per capita,2653,R$,2006
Cameta,1502107,Economico,PIB per capita,2951,R$,2007
Cameta,1502107,Economico,PIB per capita,3079,R$,2008
Cameta,1502107,Economico,PIB per capita,3489,R$,2009
Cameta,1502107,Economico,PIB per capita,3929,R$,2010
Cameta,1502107,Economico,PIB per capita,4529,R$,2011
Cameta,1502107,Economico,PIB per capita,4962,R$,2012
Cameta,1502107,Economico,PIB per capita,5799,R$,2013
Cameta,1502107,Economico,PIB per capita,6570,R$,2014
Cameta,1502107,Economico,PIB per capita,7549,R$,2015
Cameta,1502107,Economico,PIB per capita,8591,R$,2016
Cameta,1502107,Economico,PIB per capita,8826,R$,2017
Cameta,1502107,Economico,PIB per capita,8296,R$,2018
Cameta,1502107,Economico,PIB per capita,8247,R$,2019
Cameta,1502107,Economico,PIB per capita,9573,R$,2020
Cameta,1502107,Economico,PIB per capita,9897,R$,2021
Mocajuba,1504707,Economico,PIB per capita,2142,R$,2002
Mocajuba,1504707,Economico,PIB per capita,2198,R$,2003
Mocajuba,1504707,Economico,PIB per capita,2341,R$,2004
Mocajuba,1504707,Economico,PIB per capita,2840,R$,2005
Mocajuba,1504707,Economico,PIB per capita,3148,R$,2006
Mocajuba,1504707,Economico,PIB per capita,3455,R$,2007
Mocajuba,1504707,Economico,PIB per capita,3790,R$,2008
Mocajuba,1504707,Economico,PIB per capita,4300,R$,2009
Mocajuba,1504707,Economico,PIB per capita,4817,R$,2010
Mocajuba,1504707,Economico,PIB per capita,5112,R$,2011
Mocajuba,1504707,Economico,PIB per capita,6742,R$,2012
Mocajuba,1504707,Economico,PIB per capita,7876,R$,2013
Mocajuba,1504707,Economico,PIB per capita,7614,R$,2014
Mocajuba,1504707,Economico,PIB per capita,8635,R$,2015
Mocajuba,1504707,Economico,PIB per capita,9328,R$,2016
Mocajuba,1504707,Economico,PIB per capita,10124,R$,2017
Mocajuba,1504707,Economico,PIB per capita,9595,R$,2018
Mocajuba,1504707,Economico,PIB per capita,12216,R$,2019
Mocajuba,1504707,Economico,PIB per capita,15754,R$,2020
Mocajuba,1504707,Economico,PIB per capita,14164,R$,2021
